difficulty,majority_word,minority_word
normal,Remote Work,Freelancing
normal,Electric Guitar,Bass Guitar
normal,Stand-up Paddleboard,Surfboard
normal,Yoga,Meditation
normal,Aquarium,Planetarium
normal,Comedy Club,Open Mic Night
normal,Literary Fiction,Genre Fiction
normal,Street Food,Fast Food
normal,Watercolor,Gouache
normal,Sprint Race,Relay Race
normal,Board Game,Card Game
hard,Latte,Cappuccino
hard,Macchiato,Cortado
hard,Espresso,Ristretto
hard,Croissant,Pain au Chocolat
hard,Spaghetti,Linguine
hard,Cheddar,Gouda
hard,Brie,Camembert
hard,Prosecco,Champagne
hard,Bourbon,Rye Whiskey
hard,Gin,Vodka
hard,Salsa,Pico de Gallo
hard,Jam,Jelly
hard,Sour Cream,Creme Fraiche
hard,Macaron,Madeleine
hard,Focaccia,Ciabatta
hard,Sriracha,Gochujang
hard,Hummus,Baba Ganoush
hard,Tapioca,Rice Pudding
hard,Carbonara,Aglio e Olio
hard,Prosciutto,Bresaola
hard,Miso Soup,Dashi Soup
hard,Matcha,Sencha
hard,Kombucha,Kefir
hard,Granola,Muesli
hard,Panna Cotta,Creme Brulee
hard,Alligator,Crocodile
hard,Seal,Sea Lion
hard,Bison,Buffalo
hard,Llama,Alpaca
hard,Rabbit,Hare
hard,Turtle,Tortoise
hard,Crow,Raven
hard,Shrimp,Prawn
hard,Frog,Toad
hard,Wasp,Hornet
hard,Salamander,Newt
hard,Jaguar,Leopard
hard,Chimpanzee,Bonobo
hard,Porpoise,Dolphin
hard,Mackerel,Sardine
hard,Oyster,Clam
hard,Crayfish,Lobster
hard,Centipede,Millipede
hard,Wolverine,Badger
hard,Meerkat,Prairie Dog
hard,Ibis,Heron
hard,Finch,Sparrow
hard,Moth,Lacewing
hard,Tarantula,Wolf Spider
hard,Yak,Musk Ox
hard,Jogging,Running
hard,Kayaking,Canoeing
hard,Rock Climbing,Bouldering
hard,Snorkeling,Free Diving
hard,Judo,Brazilian Jiu-Jitsu
hard,Sprint,Hurdles
hard,Freestyle Swimming,Butterfly Stroke
hard,Hot Yoga,Bikram Yoga
hard,Powerlifting,Strongman Competition
hard,Beach Volleyball,Indoor Volleyball
hard,Surfing,Bodyboarding
hard,Wakeboarding,Waterskiing
hard,Cross-country Running,Trail Running
hard,Speed Skating,Short Track Skating
hard,Mogul Skiing,Freestyle Skiing
hard,Rhythmic Gymnastics,Artistic Gymnastics
hard,Sprint Triathlon,Olympic Triathlon
hard,Parkour,Free Running
hard,Freeride Mountain Biking,Downhill Mountain Biking
hard,Indoor Cycling,Spinning Class
hard,Violin,Viola
hard,Cello,Double Bass
hard,Oboe,Clarinet
hard,Trumpet,Cornet
hard,Ukulele,Mandolin
hard,Classical Guitar,Acoustic Guitar
hard,R&B,Soul
hard,Techno,House Music
hard,Drum and Bass,Jungle Music
hard,Progressive Rock,Art Rock
hard,Alt-Country,Americana
hard,Trance,Ambient
hard,Blues Rock,Southern Rock
hard,Bluegrass,Country Folk
hard,Synth Pop,New Wave
hard,Laptop,Ultrabook
hard,Smartwatch,Fitness Band
hard,VPN,Proxy Server
hard,Wi-Fi,Bluetooth
hard,SSD,HDD
hard,4K TV,8K TV
hard,Podcast,Webinar
hard,Livestream,Pre-recorded Video
hard,App,Web App
hard,Chatbot,Virtual Assistant
hard,GPS Navigation,Offline Maps
hard,Touchscreen,Stylus Pen
hard,Voice Assistant,Smart Speaker
hard,Cloud Backup,Local Backup
hard,Streaming Service,Download Service
hard,Novel,Novella
hard,Short Story,Flash Fiction
hard,Biography,Memoir
hard,Editorial,Opinion Column
hard,Haiku,Senryu
hard,Sonnet,Ode
hard,Impressionism,Post-Impressionism
hard,Cubism,Futurism
hard,Oil Pastel,Soft Pastel
hard,Linocut,Woodblock Print
hard,Graphic Novel,Comics
hard,Satire,Parody
hard,Allegory,Fable
hard,Gouache,Tempera
hard,Fresco,Mosaic
hard,Inn,Bed and Breakfast
hard,Hostel,Backpacker Lodge
hard,Motel,Motor Lodge
hard,Eco Lodge,Nature Resort
hard,Airbnb,Vacation Rental
hard,Guided Walking Tour,Self-guided Tour
hard,Layover,Stopover
hard,Business Class,First Class
hard,Harbor,Marina
hard,Pier,Jetty
hard,Landmark,Monument
hard,Souvenir,Keepsake
hard,Travel Journal,Travel Blog
hard,Tourist,Sightseer
hard,Excursion,Day Trip
hard,Hoodie,Sweatshirt
hard,Blazer,Suit Jacket
hard,Leggings,Tights
hard,Sneakers,Running Shoes
hard,Trench Coat,Overcoat
hard,Beanie,Slouch Hat
hard,Cardigan,Pullover Sweater
hard,Cargo Pants,Utility Pants
hard,Oxford Shoes,Loafers
hard,Raincoat,Windbreaker
hard,Parka,Puffer Jacket
hard,Tank Top,Sleeveless Shirt
hard,Crew Neck,V-neck Sweater
hard,High Heels,Platform Heels
hard,Slip Dress,Wrap Dress
hard,Sofa,Loveseat
hard,Duvet,Comforter
hard,Blanket,Throw
hard,Rug,Carpet
hard,Curtains,Blinds
hard,Pitcher,Carafe
hard,Mug,Cup
hard,Pot,Saucepan
hard,Colander,Strainer
hard,Spatula,Turner
hard,Casserole Dish,Dutch Oven
hard,Ladle,Serving Spoon
hard,Kettle,Teapot
hard,Coffee Table,Side Table
hard,Mixing Bowl,Salad Bowl
hard,Empathy,Sympathy
hard,Envy,Jealousy
hard,Guilt,Shame
hard,Anxiety,Stress
hard,Confidence,Arrogance
hard,Humility,Modesty
hard,Discipline,Self-control
hard,Perseverance,Resilience
hard,Creativity,Innovation
hard,Critical Thinking,Analytical Thinking
hard,Procrastination,Laziness
hard,Multitasking,Time Management
hard,Mindfulness,Meditation
hard,Simile,Metaphor
hard,Abbreviation,Acronym
hard,River,Stream
hard,Ocean,Sea
hard,Mountain,Hill
hard,Forest,Woodland
hard,Pond,Lake
hard,Bay,Gulf
hard,Cape,Peninsula
hard,Ravine,Gorge
hard,Plateau,Mesa
hard,Tundra,Arctic Desert
hard,Psychiatrist,Psychologist
hard,Optometrist,Ophthalmologist
hard,Nutritionist,Dietitian
hard,Physical Therapist,Occupational Therapist
hard,Software Engineer,Computer Scientist
hard,Data Analyst,Data Scientist
hard,UX Designer,UI Designer
hard,Marketing Manager,Brand Manager
hard,Accountant,Bookkeeper
hard,Copywriter,Content Writer
hard,Climate,Weather
hard,Epidemic,Pandemic
hard,Dialect,Accent
hard,Introvert,Ambivert
hard,Fantasy,Daydream
